gameid,url,league,split,date,week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,herald,heraldtime,ft,fttime,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,cssharepost15,csat10,oppcsat10,csdat10,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10
1001890146,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890146?gameHash=87973487c28932d6&tab=overview,WC,2016-W,29-09-2016 17:28,1,1,6.18,1,Blue,Top,Expect,G2 Esports,Jayce,Aurelion Sol,Rek'Sai,Karma,34.21666667,0,3,2,0,4,14,,,,,1,0,4.052283333,0.087676571,0.058451047,0.526059425,0,12.56651667,0,3,,,0,11.92726667,0,3,9,0,24.3666,0,1,18919,552.9176814,0.289870838,0.277492543,16,0.467608378,0.137931034,4,0.116902094,1,1,,,13132,253.9312226,12275,0.089361702,304,7,5,2,9.089137847,0.302013423,74,59,15,3666,3024,642,5761,4960,801,4324,3696,628
1001890146,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890146?gameHash=87973487c28932d6&tab=overview,WC,2016-W,29-09-2016 17:28,1,1,6.18,2,Blue,Jungle,Trick,G2 Esports,Elise,Aurelion Sol,Rek'Sai,Karma,34.21666667,0,1,3,2,4,14,,,,,0,0,4.052283333,0.029225524,0.175353142,0.526059425,0,12.56651667,0,3,,,0,11.92726667,0,3,9,0,24.3666,0,1,11965,349.6833902,0.183323885,0.188451491,24,0.701412567,0.206896552,11,0.32148076,4,4,,,10344,172.4504627,9475,-0.186602871,37,85,84,1,3.565513882,0.125838926,30,41,-11,2935,3439,-504,4497,5649,-1152,3155,3829,-674
1001890146,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890146?gameHash=87973487c28932d6&tab=overview,WC,2016-W,29-09-2016 17:28,1,1,6.18,3,Blue,Middle,Perkz,G2 Esports,Syndra,Aurelion Sol,Rek'Sai,Karma,34.21666667,0,0,3,0,4,14,,,,,0,0,4.052283333,0,0.058451047,0.526059425,0,12.56651667,0,3,,,0,11.92726667,0,3,9,0,24.3666,0,1,14441,422.0457867,0.221260361,0.226329069,13,0.379931807,0.112068966,5,0.146127618,3,3,,,11530,207.1119338,11075,-0.047167732,286,24,21,3,9.059912323,0.286912752,90,84,6,3226,3218,8,4919,5454,-535,4431,4440,-9
1001890146,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890146?gameHash=87973487c28932d6&tab=overview,WC,2016-W,29-09-2016 17:28,1,1,6.18,4,Blue,ADC,Zven,G2 Esports,Jhin,Aurelion Sol,Rek'Sai,Karma,34.21666667,0,0,2,1,4,14,,,,,0,0,4.052283333,0,0.116902094,0.526059425,0,12.56651667,0,3,,,0,11.92726667,0,3,9,0,24.3666,0,1,15664,457.788602,0.239998774,0.204324304,13,0.379931807,0.112068966,9,0.263029713,1,1,,,10841,186.975548,10750,-0.215767635,278,4,4,0,8.241597662,0.246644295,94,86,8,3339,3549,-210,4864,5617,-753,3315,3093,222
1001890146,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890146?gameHash=87973487c28932d6&tab=overview,WC,2016-W,29-09-2016 17:28,1,1,6.18,5,Blue,Support,mithy,G2 Esports,Braum,Aurelion Sol,Rek'Sai,Karma,34.21666667,0,0,4,3,4,14,,,,,0,0,4.052283333,0,0,0.526059425,0,12.56651667,0,3,,,0,11.92726667,0,3,9,0,24.3666,0,1,4278,125.0267901,0.065546141,0.103402595,50,1.461276181,0.431034483,15,0.438382854,10,11,,,7681,94.62289333,7025,-0.088435374,42,0,0,0,1.227471992,0.038590604,11,0,11,2026,1988,38,3266,3583,-317,2714,2778,-64
1001890146,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890146?gameHash=87973487c28932d6&tab=overview,WC,2016-W,29-09-2016 17:28,1,1,6.18,6,Red,Top,Darshan,Counter Logic Gaming,Poppy,Nidalee,Sivir,Soraka,34.21666667,1,2,2,7,14,4,,,,,0,1,4.052283333,0.058451047,0.087676571,0.526059425,0,12.56651667,3,0,,,1,11.92726667,1,9,3,1,24.3666,1,0,8252,241.1690209,0.136097505,0.186900691,17,0.496833902,0.150442478,6,0.175353142,3,3,,,12402,232.5965904,11225,-0.089361702,217,8,7,1,6.575742815,0.206842924,59,74,-15,3024,3666,-642,4960,5761,-801,3696,4324,-628
1001890146,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890146?gameHash=87973487c28932d6&tab=overview,WC,2016-W,29-09-2016 17:28,1,1,6.18,7,Red,Jungle,Xmithie,Counter Logic Gaming,Olaf,Nidalee,Sivir,Soraka,34.21666667,1,6,0,5,14,4,,,,,0,0,4.052283333,0.175353142,0.029225524,0.526059425,1,12.56651667,3,0,,,1,11.92726667,1,9,3,1,24.3666,1,0,11931,348.6897224,0.196774034,0.197961599,25,0.730638091,0.221238938,16,0.467608378,7,8,,,12873,246.361812,11425,0.186602871,50,95,70,25,4.237700925,0.133748056,41,30,11,3439,2935,504,5649,4497,1152,3829,3155,674
1001890146,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890146?gameHash=87973487c28932d6&tab=overview,WC,2016-W,29-09-2016 17:28,1,1,6.18,8,Red,Middle,Huhi,Counter Logic Gaming,Vladimir,Nidalee,Sivir,Soraka,34.21666667,1,2,0,7,14,4,,,,,0,0,4.052283333,0.058451047,0,0.526059425,0,12.56651667,3,0,,,1,11.92726667,1,9,3,1,24.3666,1,0,16921,494.5250852,0.279072452,0.222502254,21,0.613735996,0.185840708,9,0.263029713,7,7,,,13918,276.9024842,11610,0.047167732,305,12,7,5,9.264490989,0.283048212,84,90,-6,3218,3226,-8,5454,4919,535,4440,4431,9
1001890146,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890146?gameHash=87973487c28932d6&tab=overview,WC,2016-W,29-09-2016 17:28,1,1,6.18,9,Red,ADC,Stixxay,Counter Logic Gaming,Caitlyn,Nidalee,Sivir,Soraka,34.21666667,1,4,1,8,14,4,,,,,0,0,4.052283333,0.116902094,0,0.526059425,0,12.56651667,3,0,,,1,11.92726667,1,9,3,1,24.3666,1,0,18409,538.0126644,0.303613544,0.274260727,12,0.350706283,0.10619469,11,0.32148076,2,2,,,16122,341.3155382,13350,0.215767635,329,33,17,16,10.57963955,0.362363919,86,94,-8,3549,3339,210,5617,4864,753,3093,3315,-222
1001890146,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890146?gameHash=87973487c28932d6&tab=overview,WC,2016-W,29-09-2016 17:28,1,1,6.18,10,Red,Support,aphromoo,Counter Logic Gaming,Nami,Nidalee,Sivir,Soraka,34.21666667,1,0,1,13,14,4,,,,,0,0,4.052283333,0,0,0.526059425,0,12.56651667,3,0,,,1,11.92726667,1,9,3,1,24.3666,1,0,5120,149.634681,0.084442465,0.118374728,38,1.110569898,0.336283186,12,0.350706283,5,7,,,9484,147.3165124,7675,0.088435374,12,0,0,0,0.350706283,0.01399689,0,11,-11,1988,2026,-38,3583,3266,317,2778,2714,64
